"","state","Date_confirmation","confirmed","cumulative_confirmed","state_07d","pop2021","cumulative_confirmed_per_1M"
"304","New York",2022-05-28,1,5,1.14285714285714,19835913,0.252068054543292
"305","New York",2022-07-21,249,830,37.2857142857143,19835913,41.8432970541865
"306","New York",2022-07-19,55,576,10.2857142857143,19835913,29.0382398833873
"307","New York",2022-06-13,2,21,1.71428571428571,19835913,1.05868582908183
"308","New York",2022-07-06,21,267,4.57142857142857,19835913,13.4604341126118
"309","New York",2022-05-31,1,6,1,19835913,0.302481665451951
"310","New York",2022-06-01,1,7,1,19835913,0.352895276360609
"311","New York",2022-06-19,1,41,4,19835913,2.066958047255
"312","New York",2022-07-15,67,481,11.2857142857143,19835913,24.2489468470647
"313","New York",2022-06-22,7,62,3,19835913,3.12564387633682
"314","New York",2022-06-02,1,8,1,19835913,0.403308887269268
"315","New York",2022-07-01,24,173,5.42857142857143,19835913,8.72155468719791
"316","New York",2022-07-20,5,581,3.14285714285714,19835913,29.2903079379306
"317","New York",2022-07-03,6,183,5.85714285714286,19835913,9.2256907962845
"318","New York",2022-07-09,10,347,5.28571428571429,19835913,17.4935229853045
"319","New York",2022-07-02,4,177,3.85714285714286,19835913,8.92320913083254
"320","New York",2022-06-15,2,28,2,19835913,1.41158110544244
"321","New York",2022-06-23,6,68,2.42857142857143,19835913,3.42812554178877
"322","New York",2022-07-22,70,900,28.4285714285714,19835913,45.3722498177926
"323","New York",2022-07-05,53,246,10.8571428571429,19835913,12.40174828353
"324","New York",2022-06-25,6,77,4.71428571428571,19835913,3.8818480399667
"325","New York",2022-06-08,1,14,1.14285714285714,19835913,0.705790552721218
"326","New York",2022-06-21,10,55,2.28571428571429,19835913,2.77274859997621
"327","New York",2022-06-17,2,36,1.71428571428571,19835913,1.8148899927117
"328","New York",2022-07-07,47,314,8.42857142857143,19835913,15.8298738253188
"329","New York",2022-06-04,1,11,1.14285714285714,19835913,0.554549719995243
"330","New York",2022-06-24,3,71,3,19835913,3.57936637451475
"331","New York",2022-07-18,40,521,8.28571428571429,19835913,26.2654912834111
"332","North Carolina",2022-07-06,1,3,4.71428571428571,10551162,0.284328872971527
"333","North Carolina",2022-07-12,4,10,3.57142857142857,10551162,0.947762909905089
"334","North Carolina",2022-07-14,1,11,12,10551162,1.0425392008956
"335","North Carolina",2022-07-15,2,13,11.4285714285714,10551162,1.23209178287662
"336","North Carolina",2022-07-08,1,4,5,10551162,0.379105163962036
"337","North Carolina",2022-06-27,1,2,4.28571428571429,10551162,0.189552581981018
"338","North Carolina",2022-07-11,2,6,2.85714285714286,10551162,0.568657745943053
"339","North Carolina",2022-06-23,1,1,2.42857142857143,10551162,0.0947762909905089
