"","Country","Date_confirmation","confirmed","suspected","cumulative_confirmed","cumulative_suspected","confirmed_suspected","cumulative_confirmed_suspected","pop2022","daily_confirmed_per_1M","daily_suspected_per_1M","daily_confirmed_suspected_per_1M","cumulative_confirmed_per_1M","cumulative_suspected_per_1M","cumulative_confirmed_suspected_per_1M","daily_confirmed_07d","daily_suspected_07d","daily_confirmed_suspected_07d"
"89","Brazil",2022-06-19,1,0,8,0,1,8,215353593,0,0,0,0.04,0,0.04,42.2857142857143,0,42.2857142857143
"90","Brazil",2022-07-19,102,0,449,7,102,456,215353593,0.47,0,0.47,2.08,0.03,2.12,42.1428571428571,0,42.1428571428571
"91","Brazil",2022-07-20,143,0,592,7,143,599,215353593,0.66,0,0.66,2.75,0.03,2.78,40.4285714285714,0,40.4285714285714
"92","Brazil",2022-07-04,2,0,80,7,2,87,215353593,0.01,0,0.01,0.37,0.03,0.4,36,0,36
"93","Brazil",2022-06-17,1,0,7,0,1,7,215353593,0,0,0,0.03,0,0.03,36,0,36
"94","Bulgaria",2022-06-23,2,0,2,0,2,2,6844597,0.29,0,0.29,0.29,0,0.29,21.4285714285714,0.142857142857143,21.5714285714286
"95","Bulgaria",2022-07-22,1,0,4,0,1,4,6844597,0.15,0,0.15,0.58,0,0.58,1.42857142857143,0.142857142857143,1.57142857142857
"96","Bulgaria",2022-06-27,1,0,3,0,1,3,6844597,0.15,0,0.15,0.44,0,0.44,1.14285714285714,3.57142857142857,4.71428571428571
"97","Cameroon",2022-06-10,0,1,3,25,1,28,27911548,0,0.04,0.04,0.11,0.9,1,1.42857142857143,3.57142857142857,5
"98","Cameroon",2022-06-26,3,0,6,25,3,31,27911548,0.11,0,0.11,0.21,0.9,1.11,2.42857142857143,3.57142857142857,6
"99","Cameroon",2022-06-06,0,24,3,24,24,27,27911548,0,0.86,0.86,0.11,0.86,0.97,2.28571428571429,4.28571428571429,6.57142857142857
"100","Cameroon",2022-02-17,3,0,3,0,3,3,27911548,0.11,0,0.11,0.11,0,0.11,4.71428571428571,4.28571428571429,9
"101","Canada",2022-06-16,9,0,167,2,9,169,38388419,0.23,0,0.23,4.35,0.05,4.4,5.14285714285714,4.14285714285714,9.28571428571429
"102","Canada",2022-07-27,0,5,744,9,5,753,38388419,0,0.13,0.13,19.38,0.23,19.62,18.8571428571429,4.14285714285714,23
"103","Canada",2022-06-28,18,0,275,2,18,277,38388419,0.47,0,0.47,7.16,0.05,7.22,19.1428571428571,0.714285714285714,19.8571428571429
"104","Canada",2022-05-20,3,0,5,0,3,5,38388419,0.08,0,0.08,0.13,0,0.13,21.5714285714286,0.857142857142857,22.4285714285714
"105","Canada",2022-07-11,99,0,477,2,99,479,38388419,2.58,0,2.58,12.43,0.05,12.48,24.1428571428571,1,25.1428571428571
"106","Canada",2022-05-19,2,0,2,0,2,2,38388419,0.05,0,0.05,0.05,0,0.05,24.2857142857143,0.285714285714286,24.5714285714286
"107","Canada",2022-06-07,20,1,101,2,21,103,38388419,0.52,0.03,0.55,2.63,0.05,2.68,25,0.285714285714286,25.2857142857143
"108","Canada",2022-06-01,27,1,54,1,28,55,38388419,0.7,0.03,0.73,1.41,0.03,1.43,29.5714285714286,0.285714285714286,29.8571428571429
"109","Canada",2022-06-06,1,0,81,1,1,82,38388419,0.03,0,0.03,2.11,0.03,2.14,19,0.285714285714286,19.2857142857143
"110","Canada",2022-06-02,23,0,77,1,23,78,38388419,0.6,0,0.6,2.01,0.03,2.03,19.8571428571429,0.285714285714286,20.1428571428571
