Rank,name,pop2022,pop2021,GrowthRate,area,Density
132,Croatia,4059.286,4081.651,0.9945,56594,71.7264
133,Moldova,4013.171,4024.019,0.9973,33846,118.5715
134,Georgia,3968.738,3979.765,0.9972,69700,56.9403
135,Eritrea,3662.244,3601.467,1.0169,117600,31.1415
136,Uruguay,3496.016,3485.151,1.0031,181034,19.3114
137,Mongolia,3378.078,3329.289,1.0147,1564110,2.1597
138,Bosnia and Herzegovina,3249.317,3263.466,0.9957,51209,63.4521
139,Wales,3193.6653,,1.0038,20779,153.6968
140,Jamaica,2985.094,2973.463,1.0039,10991,271.5944
141,Qatar,2979.915,2930.528,1.0169,11586,257.1996
142,Armenia,2971.966,2968.127,1.0013,29743,99.9215
143,Albania,2866.374,2872.933,0.9977,28748,99.7069
144,Puerto Rico,2829.812,2828.255,1.0006,8870,319.0318
145,Lithuania,2661.708,2689.862,0.9895,65300,40.7612
146,Namibia,2633.874,2587.344,1.018,825615,3.1902
147,Gambia,2558.482,2486.945,1.0288,10689,239.3565
148,Botswana,2441.162,2397.241,1.0183,582000,4.1944
149,Gabon,2331.533,2278.825,1.0231,267668,8.7105
150,Lesotho,2175.699,2159.079,1.0077,30355,71.6751
151,North Macedonia,2081.304,2082.658,0.9993,25713,80.9436
152,Slovenia,2078.034,2078.724,0.9997,20273,102.5025
153,Guinea-Bissau,2063.367,2015.494,1.0238,36125,57.1174
154,Latvia,1848.837,1866.942,0.9903,64559,28.6379
155,Kosovo,1802.2502,,1.0011,10887,165.5415
156,Bahrain,1783.983,1748.296,1.0204,765,2332.0039
157,Equatorial Guinea,1496.662,1449.896,1.0323,28051,53.355
158,Trinidad and Tobago,1406.585,1403.375,1.0023,5130,274.1881
159,Timor-Leste,1369.429,1343.873,1.019,14874,92.0686
160,Estonia,1321.91,1325.185,0.9975,45227,29.2283
161,Mauritius,1274.727,1273.433,1.001,2040,624.8662
162,Cyprus,1223.387,1215.584,1.0064,9251,132.2438
163,Eswatini,1184.817,1172.362,1.0106,17364,68.2341
164,Djibouti,1016.097,1002.187,1.0139,23200,43.7973
165,Fiji,909.466,902.906,1.0073,18272,49.7738
166,Reunion,908.061,901.686,1.0071,2511,361.6332
167,Comoros,907.419,888.451,1.0213,1862,487.3357
168,Guyana,794.045,790.326,1.0047,214969,3.6938
169,Bhutan,787.941,779.898,1.0103,38394,20.5225
170,Solomon Islands,721.159,703.996,1.0244,28896,24.9571
171,Luxembourg,642.371,634.814,1.0119,2586,248.4033
172,Montenegro,627.95,628.053,0.9998,13812,45.4641
173,Western Sahara,626.161,611.875,1.0233,266000,2.354
174,Suriname,596.831,591.8,1.0085,163820,3.6432
175,Cape Verde,567.678,561.898,1.0103,4033,140.7582
176,Maldives,540.985,543.617,0.9952,300,1803.2833
177,Brunei,445.431,441.532,1.0088,5765,77.2647
178,Malta,444.033,442.784,1.0028,316,1405.1677
179,Belize,412.19,404.914,1.018,22966,17.9478
180,Bahamas,400.516,396.913,1.0091,13943,28.7252
181,Guadeloupe,399.794,400.02,0.9994,1628,245.5737
182,Martinique,374.087,374.745,0.9982,1128,331.6374
183,Iceland,345.393,343.353,1.0059,103000,3.3533
184,Vanuatu,321.832,314.464,1.0234,12189,26.4035
185,French Guiana,314.169,306.448,1.0252,83534,3.761
186,Barbados,288.023,287.711,1.0011,430,669.8209
187,Mayotte,286.259,279.515,1.0241,374,765.3984
188,Sao Tome and Principe,227.679,223.368,1.0193,964,236.1815
189,Samoa,202.239,200.149,1.0104,2842,71.1608
190,Saint Lucia,185.113,184.4,1.0039,616,300.5081
191,Kiribati,123.419,121.392,1.0167,811,152.1813
192,Micronesia,117.489,116.254,1.0106,702,167.3632
193,Grenada,113.475,113.021,1.004,344,329.8692
194,Saint Vincent and the Grenadines,111.551,111.263,1.0026,389,286.7635
195,Tonga,107.749,106.76,1.0093,747,144.2423
196,Antigua and Barbuda,99.509,98.731,1.0079,442,225.1335
197,Seychelles,99.426,98.908,1.0052,452,219.969
198,Andorra,77.463,77.355,1.0014,468,165.5192
199,Dominica,72.344,72.167,1.0025,751,96.3302
200,Marshall Islands,60.057,59.61,1.0075,181,331.8066
201,Greenland,56.973,56.877,1.0017,2166086,0.0263
202,Saint Kitts and Nevis,53.871,53.544,1.0061,261,206.4023
203,Monaco,39.783,39.511,1.0069,2,19891.5
204,Liechtenstein,38.387,38.25,1.0036,160,239.9187
205,San Marino,34.085,34.017,1.002,61,558.7705
206,Palau,18.233,18.169,1.0035,459,39.7233
207,Tuvalu,12.066,11.931,1.0113,26,464.0769
208,Nauru,10.903,10.876,1.0025,21,519.1905
209,Vatican City,0.799,0.8,0.9988,1,799
